장소명,x,y,주소,ID,카테고리,그룹코드,전화번호,상세URL,상권,업종
일등식당,126.904339369294,37.5605470785376,서울 마포구 망원동 476-1,16050121,음식점 > 한식 > 해장국,FD6,02-333-0361,http://place.map.kakao.com/16050121,KB국민은행 망원동지점,한식음식점
망원시장손칼국수,126.906273443554,37.5561805968254,서울 마포구 망원동 414-26,18856246,음식점 > 한식 > 국수 > 칼국수,FD6,02-6012-7139,http://place.map.kakao.com/18856246,망원시장,한식음식점
청어람 망원점,126.907469581002,37.558105169041376,서울 마포구 망원동 482-3,13292214,"음식점 > 한식 > 육류,고기 > 곱창,막창",FD6,없음,http://place.map.kakao.com/13292214,KB국민은행 망원동지점,한식음식점
순대일번지,126.90748815166,37.558646682726,서울 마포구 망원동 481-5,16931682,음식점 > 한식 > 순대,FD6,02-334-9210,http://place.map.kakao.com/16931682,KB국민은행 망원동지점,한식음식점
육장,126.90695477027444,37.55434670506918,서울 마포구 망원동 57-194,64633006,음식점 > 한식 > 국밥,FD6,0507-1335-2707,http://place.map.kakao.com/64633006,망리단길,한식음식점
고향집,126.90630244695804,37.55651759279587,서울 마포구 망원동 414-20,2143093783,음식점 > 한식 > 국수 > 칼국수,FD6,02-322-8762,http://place.map.kakao.com/2143093783,망원시장,한식음식점
진평925,126.90651809931512,37.557833219455446,서울 마포구 망원동 483-2,396769070,"음식점 > 한식 > 육류,고기",FD6,02-332-8886,http://place.map.kakao.com/396769070,망원월드컵시장,한식음식점
한강껍데기,126.902279999837,37.5566783136707,서울 마포구 망원동 416-33,22705945,"음식점 > 한식 > 육류,고기",FD6,02-6083-3733,http://place.map.kakao.com/22705945,망리단길,한식음식점
어수선,126.907543621559,37.5577205013398,서울 마포구 망원동 485-2,1543003311,"음식점 > 한식 > 해물,생선 > 회",FD6,02-332-2979,http://place.map.kakao.com/1543003311,망리단길,한식음식점
오복수산시장,126.90564693436,37.5540068921472,서울 마포구 망원동 401-36,262090731,"음식점 > 한식 > 해물,생선 > 회",FD6,없음,http://place.map.kakao.com/262090731,망리단길,한식음식점
현정이네철판두루치기 본점,126.906168655238,37.5531027062908,서울 마포구 망원동 394-87,27121860,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",FD6,02-338-7852,http://place.map.kakao.com/27121860,망리단길,한식음식점
원조청기와숯불갈비,126.90810821703606,37.55784798267963,서울 마포구 망원동 484-1,16327897,"음식점 > 한식 > 육류,고기 > 갈비",FD6,02-333-0166,http://place.map.kakao.com/16327897,망리단길,한식음식점
망원동돼지국밥,126.908577100348,37.5566509215641,서울 마포구 망원동 57-13,27336550,음식점 > 한식 > 국밥,FD6,02-322-4502,http://place.map.kakao.com/27336550,망리단길,한식음식점
몽골생소금구이,126.902270334715,37.5536797865032,서울 마포구 망원동 457-11,16269519,"음식점 > 한식 > 육류,고기",FD6,0507-1410-3544,http://place.map.kakao.com/16269519,망원나들목체육관,한식음식점
퍼줄래대박집,126.91047490243866,37.5548801140699,서울 마포구 망원동 378-6,1531690926,"음식점 > 한식 > 육류,고기",FD6,02-3142-2927,http://place.map.kakao.com/1531690926,망원역,한식음식점
할머니빈대떡 망원본점,126.90573647636477,37.55659372706191,서울 마포구 망원동 414-57,11891247,음식점 > 한식,FD6,02-334-2577,http://place.map.kakao.com/11891247,망원시장,한식음식점
하심정,126.907490285885,37.5569203741786,서울 마포구 망원동 485-18,11246724,음식점 > 한식 > 한정식,FD6,02-337-1631,http://place.map.kakao.com/11246724,망리단길,한식음식점
