ID,장소명,별점,맛,가성비,분위기,서비스,원천
1637957216,장터국밥,5,51,20,14,23,kakao
2098634499,식해 한식바다주점,4.5,328,89,29,142,kakao
1873776,이자카야 촌,3.1,89,13,24,27,kakao
684089354,얼쑤 망원,4.5,514,126,188,195,kakao
1997011697,황제정육식당&수제돼지갈비,2,1,1,14,1,kakao
1535960191,서교주담 망원,4.5,2785,405,1499,865,naver
1691318306,더 바이글,4.3,856,102,220,279,naver
911552927,디망쉬 키친,4.3,52,3,14,24,naver
1879823956,마닐다과 화과자공방,4.3,84,14,25,33,kakao
117343217,이자카야 제때 망원점,4.5,84,12,42,31,naver
1558684636,Alive214,4.4,2118,406,1099,611,naver
2028626364,나우올네버,4.4,292,7,103,59,naver
1996118092,낮도깨비 밤도깨비,4.4,64,18,55,37,naver
616856088,프뤼떼마지 본점작업실,4.4,109,18,48,36,kakao
630795566,고미푸딩 망원점,4.4,371,22,105,126,naver
93122129,망원장터국밥,4.1,51,20,14,23,kakao
1134437672,초월양곱창,4.1,1980,455,348,925,naver
1373294203,키친갈매기,4.63,717,91,103,157,naver
863823354,오시 망원본점,4.3,17689,3168,8085,7214,naver
192598815,정든그릇 망원점,4.3,454,252,107,166,naver
396604563,다이치,4.3,69,7,34,52,naver
1546506535,티노마드모리,4.3,3435,445,2218,1517,naver
690650568,벚꽃스시 망원점,4.3,1122,436,83,393,naver
1673857593,설경,3.4,405,184,5,77,naver
946372629,고양꼬치 마포구청점,4,1,617,323,735,kakao
805235919,무어스,4.4,200,18,108,94,naver
1594402645,유어다이닝,4.81,2735,423,695,1041,naver
612300151,웨얼이즈누들,4.4,88,4,51,35,naver
988313618,노모어피자 마포구청점,4.4,262,98,58,99,naver
213806746,논드라이,4.4,2388,266,1401,363,naver
770918827,쿠루리,4.4,49,1,37,10,naver
2127662487,선데이카리오카,4.4,136,19,29,36,naver
539411343,라오삐약,4.4,691,175,94,133,naver
1206453002,망원갈매기,4.63,289,239,23,131,naver
2011961596,육회바른연어 망원시장점,4.1,1227,444,248,334,naver
114090745,피자먹다 망원점,4.4,124,24,53,42,kakao
19949548,큐스닭강정,4.36,4761,1539,75,1167,naver
333525317,그리드 망원,4.5,859,132,515,327,naver
1996288682,코우콘,4.5,123,29,45,69,naver
218205521,선술집 순,4.5,1113,226,255,370,naver
1819829977,앗츠,4.5,58,8,22,13,naver
677182056,해물장수,4.75,242,82,20,72,naver
407097008,망원곱창시장,5,2,1,20,2,kakao
1907652089,땅스부대찌개 망원월드컵시장점,3.5,3,3,1,2,kakao
155788758,망원동숯불족발보쌈,4.1,51,20,14,23,kakao
19493745,투다리 망원1점,4.5,169,66,13,59,naver
1722816819,달래식탁,4.1,95,3,14,5,naver
1962111749,쪼지네술방,4.5,49,10,30,18,naver
762144078,샐리스 팜투테이블 망원,4.4,215,37,34,51,naver
608684968,도담,4.5,370,71,95,152,naver
1261558408,망원돈,4.1,1350,414,213,454,naver
864560292,산수냉면 망원점,4.1,339,185,18,107,naver
1465610622,보리,4.35,118,48,1,47,naver
11246724,하심정,3.2,6,2,5,6,kakao
955690982,세이슈,4.5,1310,180,942,390,naver
1845595908,슌우,4.3,785,192,326,232,naver
1683571681,정주일가,4.1,1165,253,408,369,naver
436819496,온리디스베이커리,4.3,945,61,305,243,naver
1074062572,해피박스,4.4,124,24,53,42,kakao
636287285,픽셀,4.3,617,108,187,302,naver
340970062,트릴토리,4.5,276,45,187,207,naver
660959515,명랑핫도그 망원역점,4.45,1232,368,15,403,naver
1411066687,이웃집통통이 망원점,4.3,428,28,124,109,naver
86103478,리브인오후,4.3,964,93,234,250,naver
205941174,1994양과점,4.3,338,28,68,100,naver
577707896,바이어리셔,4.3,540,59,60,281,naver
1170755892,스위즈,4.3,260,66,25,169,naver
281609941,마로스베이크하우스,4.3,233,28,33,58,naver
1760178156,다시점,4.3,84,14,25,33,kakao
1218219193,스트릿츄러스 한강버스망원점,4.3,84,14,25,33,kakao
78638994,콜린,4.5,2522,50,1640,582,naver
1088931092,망원도,3.4,4,2,4,4,kakao
1559821182,아루감,4.3,4,1,6,6,kakao
2100908584,시우,4.7,20,9,5,16,kakao
1237404281,반달포차,4.5,93,32,3,40,naver
186054313,차차,4.4,487,7,205,106,naver
1442818966,파운드마켓 망원점,4.4,2001,278,390,352,naver
2130305474,리벌티 망원,4.5,599,30,304,236,naver
1516145205,스몰굿커피 망원역점,4.4,109,18,48,36,kakao
1419333748,레코드시즌,4.4,2822,103,1639,698,naver
1324444548,고체,4.4,366,54,140,281,naver
966218107,딜리커피 망원,4.4,585,189,89,233,naver
1243515681,히카,4.9,793,39,293,213,naver
277085613,플로어 망원,4.4,27,3,10,5,naver
1909653777,콘웰,4.4,709,20,274,259,naver
239288973,메가MGC커피 망원역점,4.4,2190,844,34,308,naver
267155694,락떼스피릿,4.4,956,29,532,676,naver
1536487352,망원 지튼,4.4,2124,33,928,385,naver
16050121,일등식당,4.1,67,62,15,30,kakao
18856246,망원시장손칼국수,4,42,54,7,19,kakao
13292214,청어람 망원점,3.5,45,15,7,14,kakao
16931682,순대일번지,3,17,4,3,6,kakao
64633006,육장,4,69,25,29,30,kakao
2143093783,고향집,3.7,15,24,4,7,kakao
396769070,진평925,2.3,1,1,2,1,kakao
22705945,한강껍데기,3.4,46,14,13,21,kakao
262090731,오복수산시장,3.6,8,2,5,6,kakao
27121860,현정이네철판두루치기 본점,3.4,12,6,2,4,kakao
16327897,원조청기와숯불갈비,2.6,7,4,2,5,kakao
27336550,망원동돼지국밥,3.3,10,2,2,4,kakao
